ticker,tipo_provento,data_com,data_pagamento,valor
FRAS3,JRS CAP PROPRIO,1449705600000000000,1453852800000000000,0.0479
FRAS3,JRS CAP PROPRIO,1435622400000000000,1437523200000000000,0.064
FRAS3,JRS CAP PROPRIO,1417737600000000000,1422230400000000000,0.03747
FRAS3,JRS CAP PROPRIO,1403481600000000000,1406246400000000000,0.06825
FRIO3,JRS CAP PROPRIO,1309219200000000000,1310688000000000000,0.2337
FRIO3,DIVIDENDO,1302134400000000000,1303171200000000000,0.449
FRIO3,DIVIDENDO,1273190400000000000,1274227200000000000,0.302
FRIO3,DIVIDENDO,1272585600000000000,1273449600000000000,0.2923
FRIO3,DIVIDENDO,1257811200000000000,1258416000000000000,0.265
FRIO3,DIVIDENDO,1207612800000000000,1208390400000000000,0.064
FRTA3,JRS CAP PROPRIO,1177632000000000000,1180483200000000000,0.0028
GEPA3,JRS CAP PROPRIO,1672790400000000000,1688083200000000000,1.058948
GEPA3,DIVIDENDO,1682640000000000000,1687824000000000000,0.813014
GEPA3,DIVIDENDO,1670371200000000000,1671408000000000000,1.339267
GEPA3,DIVIDENDO,1619740800000000000,1624579200000000000,2.939902
GEPA3,JRS CAP PROPRIO,1608249600000000000,1617148800000000000,0.561242
GEPA3,DIVIDENDO,1593734400000000000,1598832000000000000,1.325059
GEPA3,JRS CAP PROPRIO,1576800000000000000,1585612800000000000,0.720085
GEPA3,DIVIDENDO,1576108800000000000,1577750400000000000,1.270738
GEPA3,DIVIDENDO,1556236800000000000,1561852800000000000,1.28063
GEPA3,JRS CAP PROPRIO,1546387200000000000,1553990400000000000,0.783622
GEPA3,DIVIDENDO,1542844800000000000,1546214400000000000,1.270738
GEPA3,DIVIDENDO,1524787200000000000,1530316800000000000,1.298785
GEPA3,JRS CAP PROPRIO,1513641600000000000,1519776000000000000,0.783622
GEPA3,DIVIDENDO,1509408000000000000,1514678400000000000,1.270738
GEPA3,DIVIDENDO,1493337600000000000,1498780800000000000,1.839499
GEPA3,JRS CAP PROPRIO,1482796800000000000,1483660800000000000,0.666
GEPA3,DIVIDENDO,1477440000000000000,1483142400000000000,1.887422
GEPA3,DIVIDENDO,1461801600000000000,1467244800000000000,1.383645
GEPA3,JRS CAP PROPRIO,1451260800000000000,1459382400000000000,0.556
GEPA3,DIVIDENDO,1446163200000000000,1448323200000000000,0.655685
GEPA3,DIVIDENDO,1430092800000000000,1435017600000000000,0.639705
GEPA3,JRS CAP PROPRIO,1419811200000000000,1427760000000000000,0.664
GEPA3,REST CAP DIN,1414713600000000000,1415318400000000000,5.294743
GEPA3,DIVIDENDO,1412208000000000000,1415059200000000000,2.292675
GEPA4,JRS CAP PROPRIO,1672790400000000000,1688083200000000000,1.058948
GEPA4,DIVIDENDO,1682640000000000000,1687824000000000000,0.813014
GEPA4,DIVIDENDO,1670371200000000000,1671408000000000000,1.339267
GEPA4,DIVIDENDO,1619740800000000000,1624579200000000000,2.939902
GEPA4,JRS CAP PROPRIO,1608249600000000000,1617148800000000000,0.561242
GEPA4,DIVIDENDO,1593734400000000000,1598832000000000000,1.325059
GEPA4,JRS CAP PROPRIO,1576800000000000000,1585612800000000000,0.720085
GEPA4,DIVIDENDO,1576108800000000000,1577750400000000000,1.270738
GEPA4,DIVIDENDO,1556236800000000000,1561852800000000000,1.28063
GEPA4,JRS CAP PROPRIO,1546387200000000000,1553990400000000000,0.783622
GEPA4,DIVIDENDO,1542844800000000000,1546214400000000000,1.270738
GEPA4,DIVIDENDO,1524787200000000000,1530316800000000000,1.298785
GEPA4,JRS CAP PROPRIO,1513641600000000000,1519776000000000000,0.783622
GEPA4,DIVIDENDO,1509408000000000000,1514678400000000000,1.270738
GEPA4,DIVIDENDO,1493337600000000000,1498780800000000000,1.839499
GEPA4,JRS CAP PROPRIO,1482796800000000000,1483660800000000000,0.666
GEPA4,DIVIDENDO,1477440000000000000,1483142400000000000,1.887422
GEPA4,DIVIDENDO,1461801600000000000,1467244800000000000,1.150727
GEPA4,JRS CAP PROPRIO,1451260800000000000,1459382400000000000,0.556
GEPA4,DIVIDENDO,1446163200000000000,1448323200000000000,0.888603
GEPA4,DIVIDENDO,1430092800000000000,1435017600000000000,0.639705
GEPA4,JRS CAP PROPRIO,1419811200000000000,1427760000000000000,0.664
