ticker,tipo_provento,data_com,data_pagamento,valor
RSID3,DIVIDENDO,2005-04-29,2005-06-28,0.0199
RSID3,DIVIDENDO,2003-04-22,2003-06-10,0.0081
RSID3,DIVIDENDO,2001-04-24,2001-10-01,0.025
RSUL4,DIVIDENDO,2008-05-05,2008-06-25,1.414112
RSUL4,DIVIDENDO,2007-04-30,2007-06-29,0.6197
RSUL4,DIVIDENDO,2006-04-28,2006-06-30,0.954
RSUL4,DIVIDENDO,2005-04-29,2005-06-28,0.838
RSUL4,DIVIDENDO,2004-04-26,2004-06-08,0.5414
RSUL4,DIVIDENDO,2003-04-29,2003-06-24,0.225
SANB3,JRS CAP PROPRIO,2008-12-19,2008-12-19,0.001408
SANB3,DIVIDENDO,2008-12-19,2008-12-19,0.002208
SANB3,DIVIDENDO,2008-12-19,2008-12-19,1e-05
SANB3,DIVIDENDO,2008-12-19,2008-12-19,0.000637
SANB3,JRS CAP PROPRIO,2007-12-26,2007-12-26,0.001904
SANB3,DIVIDENDO,2007-12-26,2007-12-26,0.001732
SANB3,DIVIDENDO,2007-12-21,2007-12-21,0.002358
SANB3,DIVIDENDO,2007-12-21,2007-12-21,0.004656
SANB3,JRS CAP PROPRIO,2007-06-29,2007-06-29,0.001892
SANB3,DIVIDENDO,2007-06-29,2007-06-29,0.003755
SANB3,DIVIDENDO,2006-06-28,2006-06-28,0.007768
SANB3,DIVIDENDO,2006-04-28,2006-04-28,0.825
SANB3,JRS CAP PROPRIO,2006-01-06,2006-01-06,0.754
SANB3,DIVIDENDO,2004-04-29,2004-04-29,0.001078
SANB3,DIVIDENDO,2003-04-17,2003-04-17,0.001013
SANB4,JRS CAP PROPRIO,2008-12-19,2008-12-19,0.001548
SANB4,DIVIDENDO,2008-12-19,2008-12-19,0.002429
SANB4,DIVIDENDO,2008-12-19,2008-12-19,1e-05
SANB4,DIVIDENDO,2008-12-19,2008-12-19,0.0007
SANB4,JRS CAP PROPRIO,2007-12-26,2007-12-26,0.002094
SANB4,DIVIDENDO,2007-12-26,2007-12-26,0.001905
SANB4,DIVIDENDO,2007-12-21,2007-12-21,0.002593
SANB4,DIVIDENDO,2007-12-21,2007-12-21,0.005122
SANB4,JRS CAP PROPRIO,2007-06-29,2007-06-29,0.002082
SANB4,DIVIDENDO,2007-06-29,2007-06-29,0.00413
SANB4,DIVIDENDO,2006-06-28,2006-06-28,0.007768
SANB4,DIVIDENDO,2006-04-28,2006-04-28,0.825
