data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2023-11-16,2023-12-28,,,DIVIDENDO,,0.033812291,BBUG39,2024-01-12 00:00:00.000000000,BRBBUGBDR000,BBUG
2024-02-22,2024-03-18,,,DIVIDENDO,,0.10122807,BBUS39,2024-03-28 00:00:00.000000000,BRBBUSBDR005,BBUS
2023-08-25,2023-09-19,,,DIVIDENDO,,0.117916667,BBUS39,2023-09-28 00:00:00.000000000,BRBBUSBDR005,BBUS
2024-05-29,2024-06-24,,,DIVIDENDO,,0.1475,BBUS39,2024-07-03 00:00:00.000000000,BRBBUSBDR005,BBUS
2023-11-16,2023-12-19,,,DIVIDENDO,,0.166805556,BBUS39,2024-01-02 00:00:00.000000000,BRBBUSBDR005,BBUS
2024-05-29,2024-06-26,,,DIVIDENDO,,0.196428571,BCAT39,2024-07-11 00:00:00.000000000,BRBCATBDR003,BCAT
2023-11-16,2023-12-28,,,DIVIDENDO,,0.268875,BCAT39,2024-01-12 00:00:00.000000000,BRBCATBDR003,BCAT
2024-05-29,2024-06-10,,,DIVIDENDO,,0.087109712,BCHI39,2024-06-21 00:00:00.000000000,BRBCHIBDR001,BCHI
2023-11-16,2023-12-20,,,DIVIDENDO,,0.406771294,BCHI39,2024-01-03 00:00:00.000000000,BRBCHIBDR001,BCHI
2024-05-29,2024-06-26,,,DIVIDENDO,,0.120239665,BCHQ39,2024-07-11 00:00:00.000000000,BRBCHQBDR004,BCHQ
2023-11-16,2023-12-28,,,DIVIDENDO,,0.304050118,BCHQ39,2024-01-12 00:00:00.000000000,BRBCHQBDR004,BCHQ
2023-08-25,2023-09-22,,,DIVIDENDO,,0.006033088,BCIR39,2023-10-05 00:00:00.000000000,BRBCIRBDR000,BCIR
2024-02-22,2024-03-20,,,DIVIDENDO,,0.016183288,BCIR39,2024-04-03 00:00:00.000000000,BRBCIRBDR000,BCIR
2024-05-29,2024-06-26,,,DIVIDENDO,,0.050037838,BCIR39,2024-07-11 00:00:00.000000000,BRBCIRBDR000,BCIR
2023-11-16,2023-12-22,,,DIVIDENDO,,0.109719298,BCIR39,2024-01-05 00:00:00.000000000,BRBCIRBDR000,BCIR
2024-05-29,2024-06-10,,,DIVIDENDO,,0.094,BCNY39,2024-06-21 00:00:00.000000000,BRBCNYBDR006,BCNY
2023-11-16,2023-12-20,,,DIVIDENDO,,1.124961967,BCNY39,2024-01-03 00:00:00.000000000,BRBCNYBDR006,BCNY
2023-11-16,2023-12-20,,,DIVIDENDO,,1.420261156,BCOM39,2024-01-03 00:00:00.000000000,BRBCOMBDR009,BCOM
2024-05-29,2024-06-26,,,DIVIDENDO,,0.117542408,BCPX39,2024-07-11 00:00:00.000000000,BRBCPXBDR003,BCPX
